quoteGroupId,mark,spot,strikePrice,daysToExpiration,vol,symbol,delta,gamma,theta,bid,openInterest,ask,expirationDate,putCall
2021-10-14T06:30:10.0,1299.4,3298.75,2000,1,125.099,AMZN_101521C2000,1.0,0.0,-0.055,1293.05,3,1305.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,1249.55,3298.75,2050,1,119.087,AMZN_101521C2050,1.0,0.0,-0.055,1243.65,4,1255.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,1199.18,3298.75,2100,1,113.2,AMZN_101521C2100,1.0,0.0,-0.055,1192.7,23,1205.65,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,1149.4,3298.75,2150,1,107.442,AMZN_101521C2150,1.0,0.0,-0.055,1143.1,1,1155.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,1099.38,3298.75,2200,1,101.793,AMZN_101521C2200,1.0,0.0,-0.055,1093.35,11,1105.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,1049.55,3298.75,2250,1,96.282,AMZN_101521C2250,1.0,0.0,-0.055,1043.7,8,1055.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,999.55,3298.75,2300,1,90.868,AMZN_101521C2300,1.0,0.0,-0.055,993.65,6,1005.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,949.38,3298.75,2350,1,85.567,AMZN_101521C2350,1.0,0.0,-0.056,943.4,14,955.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,899.18,3298.75,2400,1,80.35,AMZN_101521C2400,1.0,0.0,-0.056,893.0,44,905.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,849.18,3298.75,2450,1,75.271,AMZN_101521C2450,1.0,0.0,-0.056,843.0,44,855.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,819.55,3298.75,2480,1,72.253,AMZN_101521C2480,1.0,0.0,-0.056,813.7,5,825.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,799.23,3298.75,2500,1,70.275,AMZN_101521C2500,1.0,0.0,-0.056,793.0,234,805.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,789.13,3298.75,2510,1,69.277,AMZN_101521C2510,1.0,0.0,-0.056,782.9,1,795.35,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,779.18,3298.75,2520,1,68.274,AMZN_101521C2520,1.0,0.0,-0.056,772.95,1,785.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,749.18,3298.75,2550,1,65.351,AMZN_101521C2550,1.0,0.0,-0.056,742.95,22,755.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,699.23,3298.75,2600,1,60.515,AMZN_101521C2600,1.0,0.0,-0.056,692.7,23,705.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,649.3,3298.75,2650,1,57.524,AMZN_101521C2650,1.0,0.0,-0.057,643.2,34,655.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,619.23,3298.75,2680,1,57.083,AMZN_101521C2680,1.0,0.0,-0.058,612.7,3,625.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,599.42,3298.75,2700,1,56.773,AMZN_101521C2700,1.0,0.0,-0.059,593.1,42,605.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,579.2,3298.75,2720,1,56.848,AMZN_101521C2720,1.0,0.0,-0.062,572.7,1,585.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,549.23,3298.75,2750,1,56.863,AMZN_101521C2750,1.0,0.0,-0.07,542.75,62,555.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,529.35,3298.75,2770,1,56.858,AMZN_101521C2770,1.0,0.0,-0.08,523.0,2,535.7,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,519.23,3298.75,2780,1,56.879,AMZN_101521C2780,1.0,0.0,-0.087,512.7,3,525.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,499.2,3298.75,2800,1,56.858,AMZN_101521C2800,1.0,0.0,-0.107,492.95,76,505.45,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,479.48,3298.75,2820,1,56.866,AMZN_101521C2820,0.999,0.0,-0.138,473.15,2,485.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,469.23,3298.75,2830,1,56.867,AMZN_101521C2830,0.999,0.0,-0.159,463.05,3,475.4,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,459.38,3298.75,2840,1,56.757,AMZN_101521C2840,0.999,0.0,-0.182,453.0,1,465.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,449.38,3298.75,2850,1,56.445,AMZN_101521C2850,0.999,0.0,-0.204,442.95,94,455.8,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,439.4,3298.75,2860,1,55.973,AMZN_101521C2860,0.998,0.0,-0.226,433.05,2,445.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,419.25,3298.75,2880,1,54.709,AMZN_101521C2880,0.998,0.0,-0.266,412.75,2,425.75,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,409.3,3298.75,2890,1,53.962,AMZN_101521C2890,0.997,0.0,-0.286,402.75,8,415.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,399.3,3298.75,2900,1,53.148,AMZN_101521C2900,0.997,0.0,-0.304,392.75,195,405.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,379.33,3298.75,2920,1,51.37,AMZN_101521C2920,0.997,0.0,-0.34,372.75,3,385.9,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,369.35,3298.75,2930,1,50.416,AMZN_101521C2930,0.996,0.0,-0.358,362.85,2,375.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,359.38,3298.75,2940,1,49.425,AMZN_101521C2940,0.996,0.0,-0.375,352.9,2,365.85,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,349.38,3298.75,2950,1,48.402,AMZN_101521C2950,0.996,0.0,-0.391,342.8,73,355.95,2021-10-15T20:00:00.0,CALL
2021-10-14T06:30:10.0,339.38,3298.75,2960,1,47.572,AMZN_101521C2960,0.995,0.0,-0.419,332.85,2,345.9,2021-10-15T20:00:00.0,CALL
